System,job,0.1,0.3,0.5,0.7,1,1.3,1.5,1.7,2
SPARK_CORE,1,9.583,11.824,16.012,18.426,21.965,25.213,27.975,29.687,33.084
SPARK_CORE,2,7.117,7.854,10.562,11.514,12.986,14.367,15.415,16.591,18.521
HIVE,1,40.496,55.58,115.187,119.261,135.07,152.103,159.95,212.162,220.862
HIVE,2,40.339,40.729,43.746,45.957,50.375,57.766,62.777,70.765,75.734
MAP-REDUCE,1,15.65,20.798,26.739,27.889,31.955,32.738,31.674,33.753,34.765
MAP-REDUCE,2,3.058,3.921,3.065,5.461,5.77,6.018,6.861,7.267,7.698
SPARK-SQL,1,20.374,21.22,25.507,28.927,35.502,40.997,42.927,49.662,56.289
SPARK-SQL,2,8.67,8.763,8.6,8.74,8.99,9.05,9.6,9.72,9.83
