System,job,0.1,0.3,0.5,0.7,1,1.3,1.5,1.7,2
HIVE,1,45.236,52.714,55.578,60.062,61.814,70,71.35,84.4,90.85
HIVE,2,32,34.15,34.727,41.32,36.17,38.99,37.938,33.969,43.668
MAP-REDUCE,1,12.2,16.134,20.55,24.235,29.9,34.27,43.46,41,45.87
SPARK_CORE,2,10.16,11.58,14.49,15.4,18.97,21.17,21.45,22.73,24.56
SPARK_SQL,1,19.239,21.643,25.67,28.182,32.871,33.269,38.339,42.171,47.232
SPARK_SQL,2,15.64,21.35,23.354,25.35,28.98,31.53,32.35,35.35,37.646
SPARK_CORE,1, 7.89,8.34,8.70,9.01,9.556, 9.754, 9.822, 10.21, 11.34
MAP-REDUCE,2,8,11.34,11.532,12.1245,13.705,13.15,15.443,17.312,20
